,questionAbstract,aiAnswerText,answerText
0,Lab 6 Bonus Deadline,"To determine the Lab 6 bonus deadline, check the class announcements for any specific dates mentioned. Remember that bonus marks typically depend on showing your work to a TA before certain deadlines, and it's important to verify if any exceptions apply to Lab 6.","The lab is due on Nov 1. Consequently, the deadline for a 10% bonus is Oct 28, and the deadline for a 5% bonus is Oct 30. You can find the assignment due dates on Canvas."
1,Course Mark,"You may not be able to see your total weighted grade directly on Canvas, but you can calculate it using the grading components provided. Consider how each section contributes to your overall grade, such as the labs worth 20% and quizzes worth 10%. Check if your course provides a breakdown of marks, and if not, try calculating it by applying the respective weights to your scores.","No – calculation of total grades is disabled for students on Canvas. However, the marking scheme is available [in the syllabus](https://github.com/rlawrenc/cosc_304/tree/main?tab=readme-ov-file#marking-and-evaluation), so you can use that to approximate your final grade if necessary."
2,Lab 5 Bonus,"To find the deadline for the bonus for Lab 5, you'll want to check the class announcements, as the specific dates may vary. Remember, showing a TA before Monday at 4 p.m. gives a 10% bonus, while before Wednesday at 4 p.m. gives a 5% bonus. Make sure to confirm the exact date for Lab 5 based on when it is assigned!","Bonus deadline for lab 5 is Tuesday, October 15th at 4 p.m. Note that the marking for this take time (5 to 10 minutes) so please plan ahead."
3,Incorrect Link,"It seems that the link you are trying to access for Lab 7 bonus marks is not working. A good approach would be to check for any announcements or updates on Canvas regarding the lab or bonus features. Additionally, you could explore alternative resources provided in the course material or consult with your classmates to see if anyone has accessed the content. If the issue persists, consider reaching out to your instructor or the course help page for assistance.","You're right — the redirect is broken. Sorry about that. You can access the page by adding the missing slash in the redirect or by clicking the URL below.  
<https://s342.ok.ubc.ca/rlawrenc/tomcat/Lab7/bonus/shop.html>"
4,Final Project Questions,"Think about the project paths mentioned in the context. Each stream has specific requirements, and you should consider whether you have the flexibility to choose your own data or if you need to stick to a provided database. Review the project guidelines to clarify this aspect.","For lab 10 and the final deliverable, you can modify the database however you want. It is expected that you will replace the sample data with information about the products you will sell at your particular store."
8,Final Question,"It's important to remember that during an exam, you can only use approved materials. Since Google Docs is not allowed, downloading notes from there as a PDF would still fall under the category of non-approved resources. Consider reviewing your course materials and creating your own notes on paper instead, if it's a closed book exam. Would you like any tips on how to prepare your notes?","Yes, you can download any notes on your computer to use locally including documents produced on Google Docs."
9,lab 2 db,"To resolve the ""No database selected"" error, you need to choose a database before creating a table. From the databases listed (testuser, workson, university), refer to the lab instructions or any specific requirements mentioned in your lab 2 assignment. Typically, you might want to use either ""workson"" or ""mydb"" as they are likely designed for your assignments. To select a database, use the command `USE workson;` or `USE mydb;`. Then try creating your table again.","To resolve the ""No database selected"" error, you need to choose a database before creating a table. From the databases listed (testuser, workson, university), refer to the lab instructions or any specific requirements mentioned in your lab 2 assignment. Typically, you might want to use either ""workson"" or ""mydb"" as they are likely designed for your assignments. To select a database, use the command `USE workson;` or `USE mydb;`. Then try creating your table again.

You can use either workson or mydb for lab 2."
10,Lab 6 Missing Files,It seems like you're referring to a specific file needed for your lab work. You might want to double-check the course's GitHub repository or ask your instructor directly during office hours if the file was indeed provided or if there was an oversight. Remember to look for any updates or announcements regarding the lab materials as well.,Good job starting right away! I was in the process of modifying the GitHub repo. All Python files should now be visible.
11,Question 16: Using Views & Triggers,"To address whether Joe can update employees in departments with more than 3 employees using views and triggers, consider the following hints:

1. **Views Limitation**: Views are typically used for presenting data and may not provide the necessary filtering for updates based on conditions like employee count.

2. **INSTEAD OF Triggers**: While using an INSTEAD OF trigger can allow updates on views, it generally executes its own SQL statements instead of the user's command. This means that the trigger would need to include logic to restrict updates to only those employees in departments with more than 3 employees.

3. **Complexity**: Implementing such logic in a trigger can be complex and may not directly enforce Joe's access restrictions based solely on the view.

Reflect on these points to determine if combining views and triggers can achieve the intended result.","I like your thinking on this. The answer on the exam is ""No"" as the view (query) to determine the employees in departments that have more than three employees would require a join, grouping, and aggregation. That would make the query not updateable. It would be possible to query that view though and only provide read only access.

Now the question is if you could somehow construct a view using INSTEAD OF and triggers/custom code to make this happen. Well, I guess anything is possible. With the INSTEAD OF, you could intercept the original update command and then determine if the user 'Joe' should be able to update that employee based on the criteria. 

Note however the key point is that as a developer you will be writing all this custom code and implementing your own security policies in code. That is NEVER a good idea. So maybe the best explanation is you cannot enforce the update security restriction using built-in GRANT/REVOKE commands only because that particular view is not updateable."
12,Lab 5 Astah Use,"It seems you're looking for guidance on using AstahUML for your assignment. A good starting point would be to check if there are any specific resources or guidelines provided in your course material on Canvas. Additionally, consider looking for tutorials that focus on the types of diagrams you might need for Lab 5. If you're still uncertain, you might want to ask your instructor or classmates for their input on which diagram types are most relevant for your assignment.","For AstahUML, you will use the Class Diagram to draw the UML diagram that we are using for database design."
13,PrairieLearn LV 14.7 and 14.8 ,"For your questions about the queries and their results in LVL 14.7 and 14.8, here are some hints to consider:

1. **LVL 14.7**: Make sure that your `SELECT` statements are correctly structured and that the `JOIN` conditions are valid. Also, check if there are any typos in the column names or table aliases, as these can cause the query to return unexpected results.

2. **LVL 14.8**: Ensure that the `EXCEPT` clause is being used correctly and that both `SELECT` statements return compatible columns. Remember that `EXCEPT` will return rows from the first query that are not in the second.

Double-check your query syntax and the structure of your tables and columns. If the logic is sound but it's still grading incorrectly, there may be specific grading criteria or additional context in the assignment that you need to review.",Both queries are correct. I have manually modified your grade as the PL update fix for these questions does not work if the question has already been started. Good work on these questions.
14,Where do I find the practice final exam? ,"It sounds like you've done some good searching already! If you can see the answer files in the 'Modules' section, there may indeed be a practice final exam available. I recommend checking other sections within 'Modules' for any labeled resources regarding the practice exam itself. It might be under a different subheading or folder. If you still can't find it, consider reaching out to your instructor for clarification. Keep up the good work!",The practice final exam is in the Quizzes section on Canvas (on the bottom of the page). Here is a [direct link to the practice final exam](https://canvas.ubc.ca/courses/150492/quizzes/790022).
